AT	GO	contig	O_sativa_locus_annotation	ProbeName	TargetID	Variance_population_Oil_	Variance_Residual	SumVariance	SampleVariance	PropVar_population_Oil_	PropVar_Residual	RSquare	N2RLL	AIC	AICC	BIC	F_T3_Oil	F_T3_State	NDF_T3_Oil	NDF_T3_State	DDF_T3_Oil	DDF_T3_State	PrF_T3_Oil	PrF_T3_State	NLP_T3_Oil	NLP_T3_State	Sig Index PrF_T3_Oil	Sig Index PrF_T3_State	Sum Sig Index for F-Tests	Avg Sig Index for F-Tests
NA		S_alt_contig10950_NB		CUST_14094_PI428634872	S_alt_contig10950_NB	0.012333	0.007451	0.0197837018	0.1049317738	0.623395	0.376605	0.9385821507	-53.0	-49.0	-48.6	-49.4	34.16	5.18	1	1	33	33	<.0001	0.0294	5.8171398599	1.5317137594	1	0	1	0.5
AT2G05170	GO:0009705/GO:0005215/GO:0009705/GO:0005634/GO:0006816/GO:0016192/GO:0009705/GO:0009651/GO:0009705/GO:0007030/GO:0007033/GO:0006886/GO:0007033/GO:0006886/GO:0009705/GO:0009651/GO:0007030/GO:0008270/GO:0009705	S_alt_contig10955	LOC_Os04g31390.1|13104.m02999|cDNA vacuolar protein sorting-associated protein 11, putative, expressed	CUST_14096_PI428634872	S_alt_contig10955	0.007112	0.023748	0.0308594762	0.0681932621	0.23046	0.76954	0.6908363089	-18.8	-14.8	-14.4	-15.2	5.93	16.28	1	1	33	33	0.0205	0.0003	1.6888748012	3.5161320684	0	1	1	0.5
AT1G67280	GO:0009570/GO:0009570/GO:0010319/GO:0009570/GO:0009579/GO:0009409/GO:0009570/GO:0009409/GO:0010319/GO:0009570/GO:0009579/GO:0009507/GO:0004462/GO:0005739/GO:0009570/GO:0009507/GO:0009570/GO:0005975/GO:0010319/GO:0004462/GO:0046872/GO:0009570/GO:0009570/GO:0031977/GO:0005739/GO:0009570/GO:0004462/GO:0009570/GO:0009570/GO:0019243/GO:0046872/GO:0019243	S_alt_contig10956	LOC_Os05g14194.1|13105.m01492|cDNA glyoxalase family protein, putative, expressed	CUST_14097_PI428634872	S_alt_contig10956	0.036797	0.020828	0.057625147	0.2457710578	0.638558	0.361442	0.926734167	-18.9	-14.9	-14.5	-15.3	29.94	0.07	1	1	33	33	<.0001	0.7904	5.3394286865	0.1021626984	1	0	1	0.5
NA		S_alt_contig10960_NB		CUST_14099_PI428634872	S_alt_contig10960_NB	0.030747	0.197471	0.2282178465	0.9823177012	0.134728	0.865272	0.8187844404	50.0	54.0	54.4	53.5	45.73	25.77	1	1	33	33	<.0001	<.0001	6.9823929239	4.831854504	1	1	2	1
AT5G26570	GO:0005982/GO:0051752/GO:0009570/GO:0003824/GO:0003824/GO:0009570/GO:0009507/GO:0016301/GO:0009570/GO:0046777/GO:0005975/GO:0009570/GO:0009570/GO:0009570/GO:2001070/GO:0009664/GO:0005983/GO:0005982/GO:0005524/GO:0009570/GO:0009570/GO:0009507/GO:0009570/GO:0051752/GO:0009570/GO:0016310/GO:0009536/GO:0016310/GO:0009664/GO:0005982/GO:2001070/GO:0005983/GO:0005982/GO:0009507/GO:0009507/GO:0051752/GO:0019252/GO:0009570/GO:0046777/GO:0000272/GO:0030246/GO:0046777/GO:0030246/GO:0019200/GO:0019252/GO:0009570/GO:0051752/GO:0005524/GO:0009507/GO:0009507	S_5sp_contig25382	LOC_Os12g20150.1|13112.m02138|cDNA phosphoglucan, water dikinase, chloroplast precursor, putative, expressed	CUST_1409_PI428634872	S_5sp_contig25382	0.011245	0.041323	0.0525677156	0.1066904088	0.213913	0.786087	0.6428679554	-5.0	-1.0	-0.7	-1.4	20.84	1.92	1	1	51	51	<.0001	0.1717	4.4970704375	0.765139136	1	0	1	0.5
AT5G04410	GO:0006355/GO:0003700/GO:0003677/GO:0005634/GO:0006355/GO:0005634/GO:0045893/GO:0045893/GO:0009962/GO:0009644/GO:0005737/GO:0045893/GO:0006355/GO:0009962/GO:0007275	S_5sp_contig06782	LOC_Os08g44820.5|13108.m09401|cDNA	CUST_140_PI428634872	S_5sp_contig06782	0.008871	0.114634	0.1235051549	0.2037571347	0.07183	0.92817	0.471704291	44.9	48.9	49.2	48.5	23.40	0.83	1	1	51	51	<.0001	0.3652	4.901374688	0.4374943093	1	0	1	0.5
AT5G06510	GO:0003700/GO:0003700/GO:0005634/GO:0006355/GO:0006355/GO:0016602/GO:0006355/GO:0003677/GO:0006355/GO:0005634/GO:0003700/GO:0005634/GO:0006355/GO:0016602/GO:0006355/GO:0016602/GO:0003700/GO:0003677/GO:0006355/GO:0005634/GO:0006355/GO:0016602/GO:0009718/GO:0003700/GO:0006355/GO:0009718/GO:0016602/GO:0005634/GO:0003677/GO:0006355/GO:0016602/GO:0016602/GO:0006355/GO:0006355/GO:0005634/GO:0016602	S_alt_contig10962	LOC_Os12g42400.1|13112.m04454|cDNA	CUST_14100_PI428634872	S_alt_contig10962	0	0.149972	0.1499720517	1.1500353995	0	1	0.8770453325	38.9	40.9	41.0	40.7	148.89	86.50	1	1	33	33	<.0001	<.0001	13.051402343	10.015944152	1	1	2	1
AT5G08290	GO:0048193/GO:0007067/GO:0007030/GO:0000902/GO:0007067/GO:0016049/GO:0006944/GO:0005681/GO:0005634/GO:0016197/GO:0007033/GO:0016197/GO:0007067/GO:0007030/GO:0010150/GO:0006623/GO:0005737/GO:0006623/GO:0005634/GO:0007067/GO:0048193/GO:0016192/GO:0006944/GO:0000902/GO:0005681/GO:0003824/GO:0007033	S_alt_contig10967	LOC_Os07g10256.1|13107.m01039|cDNA	CUST_14104_PI428634872	S_alt_contig10967	0.004453	0.026541	0.0309931912	0.070262585	0.143665	0.856335	0.6600930241	-16.2	-12.2	-11.8	-12.6	27.56	0.66	1	1	33	33	<.0001	0.4210	5.0542759287	0.3757252997	1	0	1	0.5
AT3G62370	GO:0005768/GO:0005794/GO:0020037/GO:0005794/GO:0005802/GO:0005768	S_alt_contig10969	LOC_Os03g19580.1|13103.m02344|cDNA	CUST_14106_PI428634872	S_alt_contig10969	0.005768	0.03206	0.0378276301	0.0901799766	0.152481	0.847519	0.6806258068	-9.8	-5.8	-5.4	-6.2	29.10	0.81	1	1	33	33	<.0001	0.3733	5.2399764401	0.4279475931	1	0	1	0.5
AT3G07810	GO:0003676/GO:0005576/GO:0000166/GO:0000166/GO:0003723/GO:0003676	S_alt_contig10974_RC	LOC_Os11g41890.1|13111.m04161|cDNA RNA recognition motif containing protein, putative, expressed	CUST_14111_PI428634872	S_alt_contig10974_RC	0	0.117217	0.1172167927	0.1703757271	0	1	0.351323735	30.8	32.8	32.9	32.6	10.70	7.17	1	1	33	33	0.0025	0.0115	2.6004693786	1.9407212494	1	0	1	0.5
AT5G14260	GO:0009570/GO:0009507/GO:0009507/GO:0009507/GO:0009507/GO:0008150/GO:0009507/GO:0009570/GO:0003674/GO:0009507/GO:0009570/GO:0009570	S_alt_contig10982	LOC_Os12g13460.1|13112.m01432|cDNA	CUST_14116_PI428634872	S_alt_contig10982	0.00603	0.030127	0.0361567141	0.06701084	0.166768	0.833232	0.5971341719	-11.7	-7.7	-7.3	-8.1	13.39	5.35	1	1	33	33	0.0009	0.0270	3.0575185585	1.5679130508	1	0	1	0.5
AT4G35510	GO:0005634	S_alt_contig10998	LOC_Os06g51240.1|13106.m05526|cDNA	CUST_14125_PI428634872	S_alt_contig10998	0.019308	0.019651	0.0389587919	0.0640637273	0.495608	0.504392	0.7332724443	-22.4	-18.4	-18.0	-18.8	1.03	8.16	1	1	33	33	0.3165	0.0073	0.4996013582	2.1339107971	0	1	1	0.5
AT4G35510	GO:0005634	S_alt_contig11001	LOC_Os06g51240.1|13106.m05526|cDNA expressed protein	CUST_14126_PI428634872	S_alt_contig11001	0.013774	0.022889	0.0366628988	0.0711654206	0.37568	0.62432	0.718332227	-18.5	-14.5	-14.1	-15.0	0.62	13.47	1	1	33	33	0.4350	0.0008	0.3615297302	3.0712524883	0	1	1	0.5
AT5G28060	GO:0022626/GO:0006412/GO:0022626/GO:0022626/GO:0016020/GO:0005622/GO:0006412/GO:0005618/GO:0000462/GO:0006414/GO:0005737/GO:0000462/GO:0006414/GO:0005730/GO:0006412/GO:0005730/GO:0005840/GO:0006412/GO:0005840/GO:0003735/GO:0022626/GO:0003735/GO:0022626/GO:0022626/GO:0022627/GO:0022626/GO:0022626/GO:0022626/GO:0042254/GO:0006414/GO:0022626/GO:0022626/GO:0000166/GO:0022627/GO:0006412/GO:0022626/GO:0022627/GO:0022627/GO:0006412	S_alt_contig11004	LOC_Os06g36160.1|13106.m03735|cDNA 40S ribosomal protein S24, putative, expressed	CUST_14129_PI428634872	S_alt_contig11004	0	0.041784	0.041784425	0.1325120632	0	1	0.7026931539	-3.3	-1.3	-1.1	-1.5	45.13	32.86	1	1	33	33	<.0001	<.0001	6.9262604471	5.6736633595	1	1	2	1
AT1G14330	GO:0008150/GO:0003674/GO:0005634/GO:0005634	S_5sp_contig25393_RC	LOC_Os11g38980.4|13111.m03838|cDNA	CUST_1412_PI428634872	S_5sp_contig25393_RC	0.012169	0.030414	0.0425832785	0.0845405252	0.285768	0.714232	0.6697534189	-19.7	-15.7	-15.5	-16.2	14.60	3.99	1	1	51	51	0.0004	0.0512	3.440625774	1.2908988465	1	0	1	0.5
AT3G18140	GO:1900088/GO:0005737/GO:0000166/GO:0016020/GO:0005768/GO:0005768/GO:0080008/GO:0048571/GO:0005737/GO:1900088/GO:1900091	S_alt_contig11006	LOC_Os03g47780.1|13103.m05149|cDNA WD repeat-containing protein, putative, expressed	CUST_14130_PI428634872	S_alt_contig11006	0.008632	0.017395	0.0260265781	0.0510855834	0.331658	0.668342	0.7008048567	-28.1	-24.1	-23.7	-24.5	14.06	1.24	1	1	33	33	0.0007	0.2734	3.1670840901	0.5632165794	1	0	1	0.5
AT5G02390	GO:0048235/GO:0003674/GO:0048235/GO:0005634/GO:0005634	S_alt_contig11012_RC	LOC_Os01g05660.1|13101.m00546|cDNA expressed protein	CUST_14135_PI428634872	S_alt_contig11012_RC	0.016956	0.123252	0.1402084681	0.2059144208	0.120937	0.879063	0.4588436412	34.2	38.2	38.6	37.8	2.85	9.75	1	1	33	33	0.1010	0.0037	0.9958658431	2.429873119	0	1	1	0.5
NA		S_alt_contig11013_NB		CUST_14136_PI428634872	S_alt_contig11013_NB	0	0.06083	0.0608303853	0.1329538092	0	1	0.5686143661	9.1	11.1	11.3	10.9	13.74	29.75	1	1	33	33	0.0008	<.0001	3.1157817056	5.3170319663	1	1	2	1
AT1G29690	GO:0010310/GO:0010337/GO:0009626/GO:0009862/GO:0052542/GO:0006955/GO:0010337/GO:0042742/GO:0009862/GO:0050832/GO:0031348/GO:0009862/GO:0050832/GO:0010310/GO:0010363/GO:0008219/GO:0043069/GO:0009867/GO:0006944/GO:0006944/GO:0002679/GO:0006612/GO:0000165/GO:0010363/GO:0010200/GO:0006612/GO:0009626/GO:0009862/GO:0009867/GO:0002679/GO:0042742	S_5sp_contig25402	LOC_Os01g54510.1|13101.m05728|cDNA MAC/Perforin domain containing protein, putative, expressed	CUST_1413_PI428634872	S_5sp_contig25402	0	0.04179	0.0417899313	0.1024553477	0	1	0.6075075273	-8.1	-6.1	-6.0	-6.3	62.98	15.96	1	1	51	51	<.0001	0.0002	9.7378288793	3.6805008014	1	1	2	1
AT5G45550	GO:0009507/GO:0000902/GO:0009556/GO:0006816/GO:0009554/GO:0009554/GO:0000902/GO:0009553/GO:0009651/GO:0048193/GO:0009556/GO:0048193/GO:0016049/GO:0005634/GO:0009651/GO:0007030/GO:0007030	S_alt_contig11022	LOC_Os03g38020.1|13103.m04133|cDNA mps one binder kinase activator-like 1A, putative, expressed	CUST_14140_PI428634872	S_alt_contig11022	0.000918	0.059807	0.0607251134	0.2113441954	0.015123	0.984877	0.7352338258	8.8	12.8	13.2	12.4	63.83	18.95	1	1	33	33	<.0001	0.0001	8.4900188967	3.9127196935	1	1	2	1
AT1G19130	GO:0003674/GO:0005829/GO:0008150	S_alt_contig11023	LOC_Os08g35480.1|13108.m03721|cDNA cupin superfamily protein, putative, expressed	CUST_14141_PI428634872	S_alt_contig11023	0.000311	0.016224	0.016534225	0.0669925019	0.018782	0.981218	0.7738053298	-34.2	-30.2	-29.8	-30.6	12.94	86.79	1	1	33	33	0.0010	<.0001	2.9832356577	10.033671747	1	1	2	1
AT1G03475	GO:0009570/GO:0033014/GO:0019243/GO:0045893/GO:0009570/GO:0004109/GO:0009570/GO:0030154/GO:0015995/GO:0009570/GO:0009570/GO:0006779/GO:0015995/GO:0009570/GO:0006364/GO:0009570/GO:0009570/GO:0009965/GO:0009507/GO:0009570/GO:0009073/GO:0009570/GO:0009570/GO:0004109/GO:0004109/GO:0033014/GO:0045893/GO:0019243/GO:0009536/GO:0009570/GO:0006364/GO:0045893/GO:0009507/GO:0048046/GO:0009507/GO:0019344/GO:0006779/GO:0055114/GO:0009073/GO:0019344	S_alt_contig11025	LOC_Os04g52130.1|13104.m05336|cDNA coproporphyrinogen III oxidase, chloroplast precursor, putative, expressed	CUST_14142_PI428634872	S_alt_contig11025	0.037713	0.057949	0.0956620068	0.3830805736	0.394229	0.605771	0.8676949647	12.3	16.3	16.7	15.9	12.25	25.80	1	1	33	33	0.0014	<.0001	2.8683674894	4.8361629372	1	1	2	1
AT4G31410	GO:0016558/GO:0006635/GO:0006635/GO:0016558/GO:0005634/GO:0003674/GO:0048573/GO:0016558/GO:0005634/GO:0008150/GO:0048573	S_alt_contig11026_RC	LOC_Os06g47860.2|13106.m05083|cDNA	CUST_14143_PI428634872	S_alt_contig11026_RC	0.028439	0.127637	0.1560751887	0.319309071	0.182211	0.817789	0.6427149971	36.1	40.1	40.5	39.7	4.94	16.70	1	1	33	33	0.0333	0.0003	1.4777005254	3.5794858378	0	1	1	0.5
AT1G52827	GO:0003674/GO:0003674/GO:0016020/GO:0071585	S_alt_contig11030	LOC_Os06g05120.1|13106.m00489|cDNA expressed protein	CUST_14146_PI428634872	S_alt_contig11030	0.001467	0.073021	0.074488328	0.2053421344	0.019697	0.980303	0.6679923678	15.5	19.5	19.9	19.1	47.89	10.17	1	1	33	33	<.0001	0.0031	7.1797003283	2.5060191158	1	1	2	1
AT1G29690	GO:0010310/GO:0010337/GO:0009626/GO:0009862/GO:0052542/GO:0006955/GO:0010337/GO:0042742/GO:0009862/GO:0050832/GO:0031348/GO:0009862/GO:0050832/GO:0010310/GO:0010363/GO:0008219/GO:0043069/GO:0009867/GO:0006944/GO:0006944/GO:0002679/GO:0006612/GO:0000165/GO:0010363/GO:0010200/GO:0006612/GO:0009626/GO:0009862/GO:0009867/GO:0002679/GO:0042742	S_5sp_contig25403	LOC_Os01g54510.1|13101.m05728|cDNA	CUST_1414_PI428634872	S_5sp_contig25403	0.003019	0.018106	0.0211248555	0.0329618736	0.142892	0.857108	0.4900770053	-48.0	-44.0	-43.8	-44.4	13.91	2.48	1	1	51	51	0.0005	0.1215	3.3167179453	0.9154066319	1	0	1	0.5
AT5G02390	GO:0048235/GO:0003674/GO:0048235/GO:0005634/GO:0005634	S_alt_contig11036	LOC_Os01g05660.1|13101.m00546|cDNA	CUST_14150_PI428634872	S_alt_contig11036	0.001013	0.017966	0.0189786456	0.0396661917	0.053366	0.946634	0.5827682979	-30.3	-26.3	-25.9	-26.7	1.38	30.95	1	1	33	33	0.2493	<.0001	0.6032017381	5.4564547609	0	1	1	0.5
AT2G19480	GO:0006334/GO:0006334/GO:0005634/GO:0005634/GO:0003677/GO:0006281/GO:0006334/GO:0005886/GO:0046686/GO:0005634/GO:0006334/GO:0005634/GO:0006334/GO:0005634/GO:0005829/GO:0005634/GO:0006334/GO:0005634/GO:0005737/GO:0006334/GO:0005886/GO:0006334/GO:0006334/GO:0005829/GO:0006334/GO:0006281/GO:0005634/GO:0006334/GO:0006334/GO:0006281/GO:0009294	S_alt_contig11039	LOC_Os05g46230.1|13105.m04924|cDNA	CUST_14153_PI428634872	S_alt_contig11039	0.04283	0.015548	0.0583780159	0.125755137	0.733669	0.266331	0.893421801	-27.3	-23.3	-22.9	-23.7	0.17	11.27	1	1	33	33	0.6816	0.0020	0.1664655081	2.6994019081	0	1	1	0.5
AT5G44280	GO:0035102/GO:0005515/GO:0001709/GO:0045892/GO:0005515/GO:0045892/GO:0010077/GO:0010077/GO:0010492/GO:0045814/GO:0045814/GO:0005634/GO:0010492/GO:0005634/GO:0035102/GO:0005634/GO:0008270/GO:0010076/GO:0035102/GO:0010076/GO:0035102/GO:0045892/GO:0005515/GO:0005634/GO:0008270	S_alt_contig11041	LOC_Os05g41795.1|13105.m10289|cDNA zinc finger C3HC4 type family protein, putative, expressed	CUST_14154_PI428634872	S_alt_contig11041	0.040342	0.210938	0.2512798891	0.3499938095	0.160547	0.839453	0.4593533633	52.4	56.4	56.8	56.0	0.30	9.78	1	1	33	33	0.5898	0.0037	0.2292860722	2.4344374816	0	1	1	0.5
AT1G29690	GO:0010310/GO:0010337/GO:0009626/GO:0009862/GO:0052542/GO:0006955/GO:0010337/GO:0042742/GO:0009862/GO:0050832/GO:0031348/GO:0009862/GO:0050832/GO:0010310/GO:0010363/GO:0008219/GO:0043069/GO:0009867/GO:0006944/GO:0006944/GO:0002679/GO:0006612/GO:0000165/GO:0010363/GO:0010200/GO:0006612/GO:0009626/GO:0009862/GO:0009867/GO:0002679/GO:0042742	S_5sp_contig25405	LOC_Os01g54510.1|13101.m05728|cDNA	CUST_1415_PI428634872	S_5sp_contig25405	0.00068	0.005078	0.0057572242	0.0073314292	0.118028	0.881972	0.3549603351	-113.2	-109.2	-109.0	-109.7	9.46	0.48	1	1	51	51	0.0034	0.4911	2.4718130809	0.3088578952	1	0	1	0.5
AT5G25880	GO:0006499/GO:0055114/GO:0007010/GO:0006108/GO:0010498/GO:0005829/GO:0009507/GO:0006499/GO:0051260/GO:0007010/GO:0016616/GO:0006108/GO:0006108/GO:0000166/GO:0046872/GO:0009860/GO:0006499/GO:0004470/GO:0006094/GO:0006108/GO:0010498/GO:0016652/GO:0010498/GO:0016491/GO:0009860/GO:0004470/GO:0016619/GO:0051287/GO:0051287/GO:0009827/GO:0006108/GO:0004473/GO:0009827/GO:0006108/GO:0009860	S_alt_contig11064	LOC_Os01g52500.5|13101.m05496|cDNA	CUST_14165_PI428634872	S_alt_contig11064	0.016762	0.089744	0.1065061473	0.2208624941	0.15738	0.84262	0.6352889812	24.2	28.2	28.6	27.8	19.27	4.20	1	1	33	33	0.0001	0.0484	3.9588010074	1.3150705206	1	0	1	0.5
NA		S_alt_contig11066_NB		CUST_14166_PI428634872	S_alt_contig11066_NB	0	0.063702	0.0637016304	0.1015412805	0	1	0.4085012822	10.6	12.6	12.8	12.4	22.60	0.19	1	1	33	33	<.0001	0.6619	4.4194250283	0.1791968653	1	0	1	0.5
AT3G19490	GO:0015386/GO:0015385/GO:0015137/GO:0055085/GO:0050833/GO:0006848/GO:0055085/GO:0009507/GO:0035725/GO:0006814/GO:0035725/GO:0015746/GO:0016021	S_alt_contig11070	LOC_Os09g02214.1|13109.m00136|cDNA Citrate transporter protein, putative, expressed	CUST_14168_PI428634872	S_alt_contig11070	0.068412	0.039585	0.1079965488	0.2780287005	0.633463	0.366537	0.8768896413	2.2	6.2	6.6	5.8	14.33	1.65	1	1	33	33	0.0006	0.2075	3.2105144117	0.6830527465	1	0	1	0.5
AT4G03080	GO:0005506/GO:0016787/GO:0005634/GO:0030145/GO:0004722/GO:0004721/GO:0005886/GO:0005515	S_alt_contig11076	LOC_Os05g05240.2|13105.m00541|cDNA	CUST_14173_PI428634872	S_alt_contig11076	0.010257	0.021543	0.0318007564	0.1017426878	0.32255	0.67745	0.8137989466	-21.1	-17.1	-16.7	-17.5	8.81	23.27	1	1	33	33	0.0055	<.0001	2.2563648088	4.5091060623	1	1	2	1
AT4G03080	GO:0005506/GO:0016787/GO:0005634/GO:0030145/GO:0004722/GO:0004721/GO:0005886/GO:0005515	S_alt_contig11077	LOC_Os05g05240.2|13105.m00541|cDNA	CUST_14174_PI428634872	S_alt_contig11077	0.014325	0.022143	0.0364679523	0.0928090607	0.392819	0.607181	0.791311378	-19.5	-15.5	-15.1	-15.9	5.52	15.39	1	1	33	33	0.0250	0.0004	1.6025052534	3.3781650391	0	1	1	0.5
AT5G45290	GO:0008270/GO:0005634/GO:0006499/GO:0006499/GO:0005634/GO:0008270/GO:0008270/GO:0006499	S_5sp_contig25420	LOC_Os02g55520.2|13102.m06367|cDNA	CUST_1417_PI428634872	S_5sp_contig25420	0.235245	0.193703	0.4289480605	0.5551845185	0.548424	0.451576	0.6901185874	61.1	65.1	65.4	64.6	9.65	0.64	1	1	39	39	0.0035	0.4274	2.4529117841	0.369191289	1	0	1	0.5
AT1G74050	GO:0005840/GO:0006412/GO:0006412/GO:0005886/GO:0005622/GO:0022625/GO:0006412/GO:0009506/GO:0005622/GO:0005829/GO:0003735/GO:0006412/GO:0005840/GO:0003735/GO:0016020/GO:0006412/GO:0005737/GO:0006412/GO:0022625/GO:0022625/GO:0022625	S_alt_contig11089	LOC_Os04g39700.1|13104.m03850|cDNA	CUST_14184_PI428634872	S_alt_contig11089	0	0.021955	0.0219551604	0.0294222376	0	1	0.2964308114	-24.5	-22.5	-22.4	-22.7	11.85	2.06	1	1	33	33	0.0016	0.1610	2.7993670596	0.793285231	1	0	1	0.5
AT1G43130	GO:0005768/GO:0010222/GO:0005768/GO:0005802/GO:0003674/GO:0005794/GO:0005794	S_alt_contig11090	LOC_Os01g64780.2|13101.m06986|cDNA COV1, putative, expressed	CUST_14185_PI428634872	S_alt_contig11090	0.070359	0.035354	0.1057129197	0.2104798025	0.665566	0.334434	0.8549145767	-1.1	2.9	3.3	2.5	10.56	0.22	1	1	33	33	0.0027	0.6425	2.5759038393	0.1921486348	1	0	1	0.5
AT4G35410	GO:0005794/GO:0005622/GO:0030244/GO:0016192/GO:0008565/GO:0006810/GO:0030244/GO:0015031/GO:0006886/GO:0030125/GO:0006886/GO:0006886/GO:0015031/GO:0048193/GO:0006886/GO:0030125/GO:0008565/GO:0006886/GO:0048193/GO:0005794/GO:0006810/GO:0016192/GO:0006886/GO:0030125	S_alt_contig11120	LOC_Os03g57040.2|13103.m06246|cDNA clathrin adaptor complex small chain domain containing protein, expressed	CUST_14199_PI428634872	S_alt_contig11120	0.002398	0.025295	0.0276931411	0.0444700853	0.086594	0.913406	0.481369954	-18.5	-14.5	-14.1	-14.9	10.81	6.29	1	1	33	33	0.0024	0.0172	2.6193966829	1.7632652536	1	0	1	0.5
AT5G04410	GO:0006355/GO:0003700/GO:0003677/GO:0005634/GO:0006355/GO:0005634/GO:0045893/GO:0045893/GO:0009962/GO:0009644/GO:0005737/GO:0045893/GO:0006355/GO:0009962/GO:0007275	S_5sp_contig06788	LOC_Os08g44820.5|13108.m09401|cDNA	CUST_141_PI428634872	S_5sp_contig06788	0	0.114493	0.1144931335	0.2375363122	0	1	0.5361861229	43.3	45.3	45.4	45.1	53.91	5.05	1	1	51	51	<.0001	0.0289	8.8041201948	1.538501633	1	0	1	0.5
AT2G40430	GO:0006406/GO:0003674/GO:0006606/GO:0005634/GO:0006606/GO:0006406/GO:0008150/GO:0005634/GO:0005634/GO:0006406	S_alt_contig11121	LOC_Os05g05220.1|13105.m00539|cDNA	CUST_14200_PI428634872	S_alt_contig11121	0	0.019611	0.0196107306	0.0443864363	0	1	0.5834286565	-28.2	-26.2	-26.1	-26.4	0.77	45.45	1	1	33	33	0.3873	<.0001	0.4119731148	6.9560334909	0	1	1	0.5
AT5G49710	GO:0008150/GO:0005737/GO:0003674/GO:0005634/GO:0005634	S_alt_contig11134_RC	LOC_Os02g54080.1|13102.m06186|cDNA expressed protein	CUST_14207_PI428634872	S_alt_contig11134_RC	0	0.122375	0.1223748441	0.1462680823	0	1	0.2111608079	32.2	34.2	34.3	34.0	8.77	0.06	1	1	33	33	0.0056	0.8045	2.2491304703	0.094477849	1	0	1	0.5
AT5G13430	GO:0016020/GO:0005739/GO:0005739/GO:0005750/GO:0005750/GO:0005750/GO:0008121/GO:0008121/GO:0005750/GO:0055114/GO:0055114/GO:0016020/GO:0046872/GO:0005739/GO:0016679/GO:0016491/GO:0051537	S_alt_contig11135	LOC_Os04g32660.1|13104.m03134|cDNA	CUST_14208_PI428634872	S_alt_contig11135	0.02	0.005266	0.0252655287	0.0543039015	0.79159	0.20841	0.9165375725	-62.1	-58.1	-57.7	-58.5	10.75	0.16	1	1	33	33	0.0025	0.6888	2.6085187443	0.1619242575	1	0	1	0.5
AT5G58003	GO:0005634/GO:0009651/GO:0005634/GO:0009651/GO:0004721/GO:0005634/GO:0005622/GO:0008022	S_5sp_contig25438	LOC_Os05g32430.2|13105.m03340|cDNA NLI interacting factor-like phosphatase, putative, expressed	CUST_1420_PI428634872	S_5sp_contig25438	0.013308	0.013813	0.027120941	0.0471754427	0.490706	0.509294	0.7331174369	-57.8	-53.8	-53.5	-54.2	1.58	9.17	1	1	51	51	0.2145	0.0038	0.6684789886	2.414928011	0	1	1	0.5
AT5G61150	GO:0010048/GO:0008284/GO:0005634/GO:0005829/GO:0005634/GO:0010048/GO:0010048/GO:0010048/GO:0000226/GO:0009910/GO:0000226/GO:0000911	S_alt_contig11139	LOC_Os12g38970.1|13112.m04029|cDNA VIP4, putative, expressed	CUST_14212_PI428634872	S_alt_contig11139	0.002609	0.018623	0.0212316643	0.0428291402	0.12289	0.87711	0.6070584852	-28.1	-24.1	-23.7	-24.5	15.91	8.52	1	1	33	33	0.0003	0.0063	3.4594538279	2.2021297089	1	1	2	1
AT1G65020	GO:0008150/GO:0005783/GO:0003674/GO:0005783/GO:0005886	S_alt_contig11145_RC	LOC_Os10g42630.3|13110.m04010|cDNA expressed protein	CUST_14214_PI428634872	S_alt_contig11145_RC	0.05976	0.073254	0.133013921	0.2540968395	0.449274	0.550726	0.7486999998	20.6	24.6	25.0	24.2	4.17	8.34	1	1	33	33	0.0493	0.0068	1.307554487	2.1673602306	0	1	1	0.5
AT3G13224	GO:0000166/GO:0003723/GO:0003676/GO:0000166/GO:0003676/GO:0005634/GO:0008150	S_5sp_contig25458	LOC_Os06g37000.2|13106.m03830|cDNA RNA recognition motif containing protein, expressed	CUST_1421_PI428634872	S_5sp_contig25458	0.003719	0.053732	0.0574501981	0.078097884	0.064727	0.935273	0.3529056045	6.1	10.1	10.4	9.7	9.46	5.43	1	1	51	51	0.0034	0.0237	2.4714708001	1.6246131016	1	0	1	0.5
AT5G62910	GO:0005634/GO:0008270	S_alt_contig11163	LOC_Os02g37030.1|13102.m04053|cDNA	CUST_14222_PI428634872	S_alt_contig11163	0.055224	0.020698	0.0759216567	0.1612338573	0.727378	0.272622	0.8893199286	-18.0	-14.0	-13.6	-14.4	11.27	0.00	1	1	33	33	0.0020	0.9964	2.6991599381	0.001545295	1	0	1	0.5
